name
Batakaduwa West 53/B
Waligoda Ihala 870/A
Galhena East 439
Galewela Central 911/A
Galkumbura South 792/C
Porativu Ihala 434
Pallegamuwa 25/A
Attanagalla South 639/A
Eppawala Central 417/B
Walipitiya West 85/C
Thalakaduwa Ihala 628/C
Musali West 36/A
Maha Oya Ihala
Mahara North 248
Galle Central 795/C
Batugala Pahala
Digagedara
Anuradhapura 55/B
Eravur North
Kudagamuwa 832/B
Pottuvil East 498
Vavuniya South South 579
Galnewa Pahala 185/C
Elahera East
Kalutara Pahala 875/A
Galigamuwa North 26/C
Kalpitiya East 991/A
Batugala North 806/B
Nawalagala 571/B
Ginioya Central 975/C
Udaoya Central 865/A
Batakanda South
Sudukaduwa North
Akuressa Pahala 61/A
Waligoda South 765
Welimada East 528/C
Yatawatta Ihala 467
Horana Central 159/C
Nattandiya Ihala 292/B
Soranathota South
Gomarankadawala 105/C
Kandaketiya 948
Hinguradeniya Pahala 71/A
Nintavur 68
Dehiwala South 625/A
Addalachchenai Pahala 574
Digaoya Ihala
Ukuwela South 376/C
Thalagama West 496/B
Opanayaka East 455
Karandeniya West 652/B
Kuruvita
Ambanganga Central 902
Kudadeniya Ihala 712/A
Medaoya Ihala
Pelmadulla Ihala 928/A
Kayts Pahala
Kuchchaveli 365
Hanguranketha East 116/C
Ihalagamuwa East 408/B
Hikkaduwa South
Galgedara West 439/B
Balangoda Ihala 399
Medakanda Ihala
Lahugala Central
Angunakolapelessa 570/C
Eppawala Ihala 129
Digadeniya Central 444/C
Nawalagama West 476
Kaluoya South 195
Palindanuwara North 712/A
Sudukaduwa West
Lunugala South
Matale South 787
Hingurapura North
Giniwela Central
Ratugedara West 749
Wellawaya Central 34/B
Akuressa 333
Minuwangoda Ihala
Matugama Central 297/B
Lahugala Central 604/C
Niyagama North
Digagamuwa Ihala 963/C
Hinguragala East 117
Ratukanda 396/C
Ginioya West 13/B
Rukkaduwa North 647/A
Batapitiya South 666/B
Sududeniya Ihala 257
Udakaduwa Central
Digagoda East 777/C
Ratugamuwa Ihala 209/B
Elpitiya Pahala 289/C
Batticaloa Pahala 255/C
Thamankaduwa West
Rukdeniya Pahala 494/A
Karuwalagaswewa 777/A
Kuliyapitiya North 746/C
Kurunegala West 588/A
Paranamulla 398/C
Udamulla Central 166/C
Pahaladeniya Central 45/B
Kudatota 356/B
Paranagamuwa Central 782
Kalpitiya South 347
Nawalagamuwa Central 83
Lunugamvehera South 972/B
Ratugama Central 691
Nawalawatta 941/C
Pahalapura Ihala 722/A
Hinguragama North 336/C
Yatinuwara 881/B
Vavuniya Central
Rukwatta Central 958/C
Maha Oya South 965/C
Waligamuwa West 56/C
Pallegama Pahala
Karaveddy Ihala 714/C
Nuwara Eliya Pahala 720/C
Kudatota Central 254
Nawalamulla West 540/B
Nallur East 274
Nawalapura North 236/C
Batakumbura North 850/A
Kudaoya South 822/B
Thunukkai South 299
Malimbada North 256/B
Digakanda Ihala 521
Harispattuwa Central 840
Paranawela West 764/C
Hinguragamuwa Ihala 47/C
Digagamuwa West 845
Nintavur Pahala 191/C
Karandeniya West
Walihena North 685
Kurunegala North 693/A
Thalakumbura Ihala 464
Ihalagedara Ihala 625/C
Laggala East 664/C
Navagattegama Pahala 421/C
Kekirawa Ihala 111/B
Medagama 911/C
Nikaweratiya Pahala 450/C
Dodangoda Ihala 143
Kudakumbura West 5/A
Seruvila Pahala 796/B
Galgamuwa Pahala 991
Digamulla West 449/B
Paranakumbura North 398/A
Batakumbura North
Ihalapura East 85
Galnewa Ihala 250
Point Pedro North 816/A
Neluwa North 142/B
Lunugamvehera North 271/B
Kebithigollewa North 491
Thalapitiya East 471/A
Sudukaduwa 175/C
Kothmale North
Malimbada East 4/B
Galmulla East 642/B
Aluthoya Ihala 268/B
Padiyathalawa Central
Welikanda Ihala 763/B
Palledeniya
Samanthurai 760/B
Medadeniya North 840/B
