name
Addalachchenai 344/C
Addalachchenai Central
Addalachchenai Central 681
Addalachchenai East
Addalachchenai East 44/B
Addalachchenai Ihala 309/A
Addalachchenai North 503/A
Addalachchenai North 538/A
Addalachchenai North 557
Addalachchenai Pahala
Addalachchenai Pahala 132/B
Addalachchenai Pahala 574
Addalachchenai South 714/C
Addalachchenai South 755/A
Addalachchenai West 269/C
Addalachchenai West 347/A
Agalawatta
Agalawatta 591
Agalawatta Central 984/B
Agalawatta East
Agalawatta East 643
Agalawatta East 72/A
Agalawatta Ihala
Agalawatta Ihala 32/B
Agalawatta Pahala 138/A
Agalawatta Pahala 204/B
Agalawatta Pahala 927/C
Agalawatta South 191/A
Agalawatta South 617/A
Agalawatta West
Agalawatta West 229/C
Agalawatta West 861/C
Akkaraipattu 17/C
Akkaraipattu 868/C
Akkaraipattu Central
Akkaraipattu Central 16/A
Akkaraipattu Ihala 580/A
Akkaraipattu North
Akkaraipattu North 348/A
Akkaraipattu North 410
Akkaraipattu North 457/C
Akkaraipattu North 527
Akkaraipattu North 812/B
Akkaraipattu Pahala
Akkaraipattu Pahala 249/B
Akkaraipattu Pahala 347
Akkaraipattu South 367/C
Akkaraipattu South 827/C
Akkaraipattu South 89
Akkaraipattu West
Akmeemana
Akmeemana 654/C
Akmeemana 675/A
Akmeemana Central 224
Akmeemana Central 307/B
Akmeemana Central 404/C
Akmeemana East
Akmeemana Ihala
Akmeemana Ihala 164/C
Akmeemana Ihala 785/C
Akmeemana North
Akmeemana North 909/B
Akmeemana Pahala
Akmeemana Pahala 49/C
Akmeemana Pahala 815
Akmeemana South
Akmeemana South 297/C
Akmeemana South 62/C
Akmeemana South 89
Akmeemana West
Akmeemana West 318/A
Akurana
Akurana 743/A
Akurana 840/B
Akurana Central 571/A
Akurana Central 577/B
Akurana Central 608/A
Akurana East 520/A
Akurana East 620
Akurana East 881/C
Akurana Ihala
Akurana Ihala 142/C
Akurana Ihala 38/B
Akurana North
Akurana Pahala 588/B
Akurana South
Akurana West
Akurana West 148/A
Akurana West 292/B
Akuressa 333
Akuressa 391/C
Akuressa 710
Akuressa East 27
Akuressa East 716/A
Akuressa Ihala
Akuressa North 100
Akuressa North 134/B
Akuressa North 175/C
Akuressa North 440/B
Akuressa North 95/B
Akuressa Pahala
Akuressa Pahala 538/C
Akuressa Pahala 61/A
Akuressa South
Akuressa South 566/A
Akuressa South 795/A
Akuressa South 938/C
Akuressa West
Akuressa West 477
Alawwa Central 291/A
Alawwa Central 308/C
Alawwa Central 327/A
Alawwa East
Alawwa East 196
Alawwa Ihala
Alawwa North
Alawwa North 167/A
Alawwa North 601
Alawwa North 621/A
Alawwa Pahala
Alawwa South
Alawwa South 597/A
Alawwa South 973/C
Alawwa West 224/C
Aluthdeniya 61/A
Aluthdeniya Central 662/B
Aluthdeniya East 853/C
Aluthdeniya Ihala 597/A
Aluthdeniya North
Aluthdeniya North 300/C
Aluthdeniya North 893
Aluthdeniya Pahala
Aluthdeniya South
Aluthdeniya West 434/B
Aluthdeniya West 676/A
Aluthdeniya West 8/B
Aluthgala Central 896
Aluthgala East 164/C
Aluthgala East 89/A
Aluthgala Ihala 147/B
Aluthgala Ihala 345
Aluthgala North 205/B
Aluthgala Pahala 577/C
Aluthgala Pahala 691/A
Aluthgama 183/A
Aluthgama 663/A
Aluthgama Central 924/A
Aluthgama East 490/A
Aluthgama East 537/A
Aluthgama Ihala 267
Aluthgama Ihala 474/B
Aluthgama North
Aluthgama Pahala 131/B
Aluthgama Pahala 410/A
Aluthgama South 657/C
Aluthgama West
Aluthgamuwa 715
Aluthgamuwa Central 985/A
Aluthgamuwa East
Aluthgamuwa East 591/C
Aluthgamuwa Ihala 462/A
Aluthgamuwa Ihala 560/A
Aluthgamuwa North
Aluthgamuwa North 569/B
Aluthgamuwa North 875/C
Aluthgamuwa Pahala
Aluthgamuwa Pahala 705
Aluthgamuwa West 102/B
Aluthgamuwa West 598/C
Aluthgedara
Aluthgedara 738/C
Aluthgedara Central
Aluthgedara Central 509/C
Aluthgedara East
Aluthgedara East 972/C
Aluthgedara Ihala 131/C
Aluthgedara Ihala 147/C
Aluthgedara Ihala 635/B
Aluthgedara Ihala 888/C
Aluthgedara North 461
Aluthgedara South 809/C
Aluthgedara West
Aluthgoda
Aluthgoda 713/A
Aluthgoda Central 57/A
Aluthgoda Central 733/C
Aluthgoda East 747
Aluthgoda East 960/B
Aluthgoda Ihala 282
Aluthgoda Ihala 474/C
Aluthgoda North 610/C
Aluthgoda North 867/B
Aluthgoda South
Aluthgoda West 171/C
Aluthgoda West 59/B
Aluthgoda West 708/A
Aluthhena
Aluthhena 624/A
Aluthhena East
Aluthhena Ihala
Aluthhena Ihala 391
Aluthhena Ihala 440/A
Aluthhena North
Aluthhena North 781
Aluthhena Pahala 216/C
Aluthhena South 813/A
Aluthhena West
Aluthhena West 236/A
Aluthkaduwa
Aluthkaduwa 242/C
Aluthkaduwa Central 313/C
Aluthkaduwa Central 376/A
Aluthkaduwa Central 446/A
Aluthkaduwa Central 543/A
Aluthkaduwa East 425
Aluthkaduwa Ihala
Aluthkaduwa South
Aluthkaduwa South 924/B
Aluthkaduwa West 414/C
Aluthkaduwa West 435/B
Aluthkaduwa West 574
Aluthkanda
Aluthkanda Central
Aluthkanda Central 577
Aluthkanda Central 816/C
Aluthkanda East
Aluthkanda North 629/B
Aluthkanda North 730/A
Aluthkanda South
Aluthkanda South 152/B
Aluthkanda South 163/C
Aluthkanda West 138/A
Aluthkanda West 650/A
Aluthkumbura 466/A
Aluthkumbura 55/B
Aluthkumbura 838/C
Aluthkumbura East
Aluthkumbura East 50/C
Aluthkumbura East 795/C
Aluthkumbura East 909/C
Aluthkumbura Ihala 163/B
Aluthkumbura North 462
Aluthkumbura North 900/B
Aluthkumbura South 149
Aluthkumbura South 868/C
Aluthkumbura South 997
Aluthkumbura West 352
Aluthmulla
Aluthmulla 785
Aluthmulla 864/C
Aluthmulla Central
Aluthmulla Central 783/C
Aluthmulla Ihala 250/A
Aluthmulla North
Aluthmulla North 317/A
Aluthmulla North 394/C
Aluthmulla North 653
Aluthmulla North 878/B
Aluthmulla Pahala 325/C
Aluthmulla South
Aluthmulla South 909/A
Aluthmulla West 845
Aluthoya
Aluthoya 192
Aluthoya 526/A
Aluthoya Central 486
Aluthoya Central 499/C
Aluthoya Central 774/B
Aluthoya East 476/B
Aluthoya Ihala
Aluthoya Ihala 268/B
Aluthoya Ihala 95
Aluthoya Pahala 659/A
Aluthoya Pahala 795/B
Aluthoya Pahala 798/A
Aluthoya West
Aluthoya West 954
Aluthpitiya Central
Aluthpitiya Central 771/B
Aluthpitiya Central 916/B
Aluthpitiya East 369/A
Aluthpitiya Ihala
Aluthpitiya Ihala 69/C
Aluthpitiya Ihala 798
Aluthpitiya Ihala 829/C
Aluthpitiya North
Aluthpitiya North 689
Aluthpitiya Pahala 911/B
Aluthpura Central 500
Aluthpura East 176/A
Aluthpura East 275/A
Aluthpura East 354/A
Aluthpura East 647
Aluthpura North
Aluthpura North 284/B
Aluthpura Pahala
Aluthpura Pahala 154/B
Aluthpura Pahala 263/B
Aluthpura South 430/A
Aluthpura South 677/B
Aluthpura West
Aluthpura West 298/B
Aluthtota
Aluthtota 291/A
Aluthtota Central 18
Aluthtota Central 622/C
Aluthtota East 71/B
Aluthtota Ihala
Aluthtota Ihala 522
Aluthtota Ihala 585/B
Aluthtota North 824/B
Aluthtota Pahala
Aluthtota South
Aluthtota South 486
Aluthtota South 834
Aluthtota South 844
Aluthtota West
Aluthwatta 224/A
Aluthwatta 471/C
Aluthwatta 609/A
Aluthwatta East 369/A
Aluthwatta Ihala 632/A
Aluthwatta Ihala 85
Aluthwatta North 14/C
Aluthwatta North 862/B
Aluthwatta Pahala 412/C
Aluthwatta Pahala 673/B
Aluthwatta South 178/A
Aluthwatta South 681/C
Aluthwatta South 74/C
Aluthwatta South 924/C
Aluthwatta West 59/A
Aluthwatta West 939/A
Aluthwela 670
Aluthwela East 570
Aluthwela Ihala 700/C
Aluthwela North
Aluthwela North 884
Aluthwela West
Aluthwela West 38/B
Ambagamuwa Central 345
Ambagamuwa Central 446
Ambagamuwa East
Ambagamuwa East 376/C
Ambagamuwa East 390/C
Ambagamuwa East 498
Ambagamuwa North 18/C
Ambagamuwa North 725/B
Ambagamuwa North 74/A
Ambagamuwa Pahala
Ambagamuwa Pahala 166/A
Ambagamuwa Pahala 533/C
Ambagamuwa Pahala 546/A
Ambagamuwa Pahala 562/A
Ambagamuwa Pahala 93
Ambagamuwa South
Ambagamuwa South 105/A
Ambagamuwa South 138
Ambagamuwa South 347
Ambagamuwa South 790/B
Ambagamuwa West
Ambagamuwa West 144/C
Ambagamuwa West 910/B
Ambalangoda 573
Ambalangoda Central
Ambalangoda Central 43/B
Ambalangoda Central 437/B
Ambalangoda Central 439/A
Ambalangoda Central 624/C
Ambalangoda East
Ambalangoda East 297/A
Ambalangoda East 813/A
Ambalangoda East 93/A
Ambalangoda Ihala 282/C
Ambalangoda North 306/A
Ambalangoda Pahala
Ambalangoda Pahala 241
Ambalangoda Pahala 579/C
Ambalangoda Pahala 605
Ambalangoda Pahala 893/A
Ambalangoda South 145/C
Ambalangoda South 296
Ambalangoda West 727/A
Ambalantota
Ambalantota 72/A
Ambalantota 871/C
Ambalantota Central
Ambalantota Central 691/A
Ambalantota East
Ambalantota East 122
Ambalantota East 226/C
Ambalantota East 285
Ambalantota East 796/C
Ambalantota Ihala
Ambalantota Ihala 116/B
Ambalantota Ihala 334
Ambalantota Ihala 493/C
Ambalantota Ihala 700
Ambalantota Pahala 262/A
Ambalantota Pahala 51/A
Ambalantota Pahala 781
Ambalantota South 36/C
Ambalantota South 39/A
Ambalantota South 414/B
Ambalantota South 568/C
Ambalantota West 243/C
Ambalantota West 423/B
Ambalantota West 534
Ambanganga 745/B
Ambanganga Central
Ambanganga Central 902
Ambanganga East
Ambanganga East 446/A
Ambanganga Ihala 493/A
Ambanganga Ihala 573/A
Ambanganga Ihala 727
Ambanganga North 495/C
Ambanganga North 570
Ambanganga North 625/B
Ambanganga Pahala
Ambanganga Pahala 100/A
Ambanganga South
Ambanganga South 625/B
Ambanganga West
Ambanganga West 587/B
Ambanganga West 942/A
Ampara 4/B
Ampara 628/C
Ampara 878/B
Ampara Central
Ampara East
Ampara East 293/A
Ampara Ihala
Ampara Ihala 199/C
Ampara Ihala 809/B
Ampara Ihala 821/A
Ampara North 460/C
Ampara North 626/B
Ampara North 806/B
Ampara Pahala 404/B
Ampara Pahala 431/C
Ampara South
Ampara West 603
Ampara West 796
Anamaduwa
Anamaduwa 388
Anamaduwa Central 596
Anamaduwa Central 771
Anamaduwa East 14/B
Anamaduwa East 281/A
Anamaduwa East 5/B
Anamaduwa Ihala
Anamaduwa North
Anamaduwa North 543/A
Anamaduwa North 653/C
Anamaduwa North 783/B
Anamaduwa North 843/B
Anamaduwa Pahala
Anamaduwa South 386/C
Angunakolapelessa
Angunakolapelessa 570/C
Angunakolapelessa 631/C
Angunakolapelessa Central
Angunakolapelessa Central 209/C
Angunakolapelessa Central 554/A
Angunakolapelessa Central 817/A
Angunakolapelessa Central 968/C
Angunakolapelessa East
Angunakolapelessa East 195/A
Angunakolapelessa North 352/B
Angunakolapelessa Pahala
Angunakolapelessa Pahala 120/A
Angunakolapelessa Pahala 24
Angunakolapelessa Pahala 376
Angunakolapelessa South 318/C
Angunakolapelessa South 554/C
Angunakolapelessa West 933/C
Anuradhapura 277/A
Anuradhapura 55/B
Anuradhapura Central
Anuradhapura Central 66/C
Anuradhapura Central 998/C
Anuradhapura East
Anuradhapura East 127/C
Anuradhapura East 303
Anuradhapura East 348
Anuradhapura East 957/C
Anuradhapura Ihala 159/C
Anuradhapura Ihala 469
Anuradhapura Ihala 634/A
Anuradhapura Pahala 861/B
Anuradhapura Pahala 892/A
Anuradhapura South
Anuradhapura South 599/C
Anuradhapura South 636/A
Anuradhapura West
Anuradhapura West 198/B
Anuradhapura West 600/A
Anuradhapura West 711/B
Arachchikattuwa 108
Arachchikattuwa 770/A
Arachchikattuwa Central
Arachchikattuwa Central 81/C
Arachchikattuwa East
Arachchikattuwa East 383/A
Arachchikattuwa Ihala
Arachchikattuwa Ihala 150/A
Arachchikattuwa Ihala 753/B
Arachchikattuwa Ihala 923/A
Arachchikattuwa North
Arachchikattuwa North 115/A
Arachchikattuwa Pahala 596
Aranayaka 238/B
Aranayaka 363/A
Aranayaka 73/C
Aranayaka Central
Aranayaka Central 292
Aranayaka Central 898/B
Aranayaka East
Aranayaka Ihala
Aranayaka North 636
Aranayaka North 669/B
Aranayaka North 995/A
Aranayaka Pahala 185/A
Aranayaka Pahala 187/B
Aranayaka Pahala 582
Aranayaka South
Aranayaka South 149
Aranayaka South 355
Aranayaka South 409/C
Aranayaka South 676
Aranayaka West
Aranayaka West 522/A
Attanagalla
Attanagalla 834
Attanagalla 987/C
Attanagalla East
Attanagalla East 390/B
Attanagalla Ihala
Attanagalla Ihala 505/A
Attanagalla Ihala 576/A
Attanagalla Ihala 653
Attanagalla Ihala 704/B
Attanagalla North 914/A
Attanagalla South 608/A
Attanagalla South 616/C
Attanagalla South 639/A
Ayagama
Ayagama 592/C
Ayagama 73
Ayagama Central 297/B
Ayagama Central 376/A
Ayagama Central 739
Ayagama East
Ayagama East 18
Ayagama East 463/A
Ayagama East 500/C
Ayagama Ihala
Ayagama Ihala 475/A
Ayagama North 400/C
Ayagama Pahala
Ayagama Pahala 144/A
Ayagama South
Ayagama West 723/B
Ayagama West 99
Badalkumbura
Badalkumbura 235
Badalkumbura 367/B
Badalkumbura 56/C
Badalkumbura Central
Badalkumbura Central 334/A
Badalkumbura Central 880/C
Badalkumbura Central 987/A
Badalkumbura East 48/C
Badalkumbura East 899
Badalkumbura Ihala
Badalkumbura Ihala 418/C
Badalkumbura Ihala 585/B
Badalkumbura North
Badalkumbura North 159/C
Badalkumbura North 233
Badalkumbura North 544
Badalkumbura North 720/C
Badalkumbura North 726
Badalkumbura North 837/C
Badalkumbura Pahala
Badalkumbura Pahala 958
