username,division
gn.addalachchenai344c,Addalachchenai 344/C
gn.addalachchenaicentral,Addalachchenai Central
gn.addalachchenaicentral681,Addalachchenai Central 681
gn.addalachchenaieast,Addalachchenai East
gn.addalachchenaieast44b,Addalachchenai East 44/B
gn.addalachchenaiihala309a,Addalachchenai Ihala 309/A
gn.addalachchenainorth503a,Addalachchenai North 503/A
gn.addalachchenainorth538a,Addalachchenai North 538/A
gn.addalachchenainorth557,Addalachchenai North 557
gn.addalachchenaipahala,Addalachchenai Pahala
gn.addalachchenaipahala132b,Addalachchenai Pahala 132/B
gn.addalachchenaipahala574,Addalachchenai Pahala 574
gn.addalachchenaisouth714c,Addalachchenai South 714/C
gn.addalachchenaisouth755a,Addalachchenai South 755/A
gn.addalachchenaiwest269c,Addalachchenai West 269/C
gn.addalachchenaiwest347a,Addalachchenai West 347/A
gn.agalawatta,Agalawatta
gn.agalawatta591,Agalawatta 591
gn.agalawattacentral984b,Agalawatta Central 984/B
gn.agalawattaeast,Agalawatta East
gn.agalawattaeast643,Agalawatta East 643
gn.agalawattaeast72a,Agalawatta East 72/A
gn.agalawattaihala,Agalawatta Ihala
gn.agalawattaihala32b,Agalawatta Ihala 32/B
gn.agalawattapahala138a,Agalawatta Pahala 138/A
gn.agalawattapahala204b,Agalawatta Pahala 204/B
gn.agalawattapahala927c,Agalawatta Pahala 927/C
gn.agalawattasouth191a,Agalawatta South 191/A
gn.agalawattasouth617a,Agalawatta South 617/A
gn.agalawattawest,Agalawatta West
gn.agalawattawest229c,Agalawatta West 229/C
gn.agalawattawest861c,Agalawatta West 861/C
gn.akkaraipattu17c,Akkaraipattu 17/C
gn.akkaraipattu868c,Akkaraipattu 868/C
gn.akkaraipattucentral,Akkaraipattu Central
gn.akkaraipattucentral16a,Akkaraipattu Central 16/A
gn.akkaraipattuihala580a,Akkaraipattu Ihala 580/A
gn.akkaraipattunorth,Akkaraipattu North
gn.akkaraipattunorth348a,Akkaraipattu North 348/A
gn.akkaraipattunorth410,Akkaraipattu North 410
gn.akkaraipattunorth457c,Akkaraipattu North 457/C
gn.akkaraipattunorth527,Akkaraipattu North 527
gn.akkaraipattunorth812b,Akkaraipattu North 812/B
gn.akkaraipattupahala,Akkaraipattu Pahala
gn.akkaraipattupahala249b,Akkaraipattu Pahala 249/B
gn.akkaraipattupahala347,Akkaraipattu Pahala 347
gn.akkaraipattusouth367c,Akkaraipattu South 367/C
